City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
348,kjollefjord,92,NO,1533595155,100,70.95,27.35,281.44,8.17
349,bathsheba,20,BB,1533592800,78,13.22,-59.52,301.15,7.7
350,vanimo,88,PG,1533595155,100,-2.67,141.3,300.94,4.97
351,cacule,0,BR,1533595156,59,-14.5,-42.22,296.59,5.07
352,santiago,90,CL,1533592800,47,-33.44,-70.65,288.15,0.92
353,bima,12,ID,1533595156,88,-8.45,118.73,297.09,1.87
354,bambanglipuro,0,ID,1533595156,91,-7.95,110.28,292.04,1.07
355,anadyr,75,RU,1533592800,76,64.73,177.51,287.15,2.0
356,aksu,75,KZ,1533592800,67,52.04,76.93,289.15,1.0
357,shakawe,0,BW,1533595157,53,-18.36,21.84,289.19,1.32
358,sindor,68,RU,1533595157,97,62.87,51.9,288.29,3.22
359,marshfield,1,US,1533593700,52,42.09,-70.71,307.15,2.1
360,tasiilaq,20,GL,1533592200,70,65.61,-37.64,280.15,9.3
361,makakilo city,40,US,1533592620,43,21.35,-158.09,305.15,5.1
362,belmonte,0,PT,1533595158,69,40.36,-7.35,292.34,1.12
363,chicama,90,PE,1533592800,82,-7.84,-79.15,291.15,4.1
364,aruppukkottai,20,IN,1533589200,54,9.51,78.1,302.15,2.1
365,pochutla,90,MX,1533591660,70,15.74,-96.47,302.15,2.77
366,palamos,20,ES,1533592800,94,41.85,3.13,298.15,2.6
367,george town,75,MY,1533592800,94,5.42,100.33,300.15,0.5
368,bestobe,92,KZ,1533595159,90,52.5,73.1,290.99,4.87
369,hals,8,AT,1533594000,56,48.59,13.46,296.15,1.5
370,cortez,1,US,1533592380,6,37.35,-108.58,308.15,5.7
371,jabinyanah,20,TN,1533592800,83,35.03,10.91,298.15,3.1
372,scarborough,88,GB,1533592200,82,54.28,-0.41,291.15,1.5
373,isangel,0,VU,1533595160,100,-19.55,169.27,295.39,4.97
374,taltal,0,CL,1533595161,95,-25.41,-70.49,285.44,1.12
375,yanam,92,IN,1533595161,85,16.73,82.22,298.94,7.27
376,cardston,1,CA,1533592800,22,49.2,-113.32,305.15,9.8
377,port lincoln,76,AU,1533595161,93,-34.72,135.86,286.69,8.37
378,hasaki,75,JP,1533592800,94,35.73,140.83,296.15,7.2
379,koulamoutou,92,GA,1533595161,100,-1.13,12.47,293.29,1.07
